nama;partai;dapil
RADEN ANDREAS NANDIWARDHANA SE;partai berkarya;Jawa Barat VI
RADEN ARIES SOFWAN ZARKASIH;partai solidaritas indonesia;Jawa Barat XI
RADEN BAGUS SURYAMA MAJANA SASTRA;partai keadilan sejahtera;Jawa Barat VIII
RADEN BESSE KARTONINGRAT S.H., M.H.;partai golongan karya;Jawa Timur I
RADEN DIMAS TRI SUHARTO ARYANTO BA (Hons), MA;partai solidaritas indonesia;Jawa Barat XI
RADEN PERMANA SURYANTO SE;partai solidaritas indonesia;Riau I
RADEN SUJARTO SE,MBA,MM;partai nasdem;Jawa Tengah III
RADITYA DWI PUTRA KAGISWANA S.E;partai golongan karya;Jawa Barat IV
RADITYA PADMAWANGSA S.IP;partai solidaritas indonesia;Jawa Barat IV
RADITYA PERWIRA;partai amanat nasional;Jawa Barat VIII
Ir RADJAB SAHDA NASUTION;partai solidaritas indonesia;Jawa Barat XI
RAFIKA AGUSTINA;partai solidaritas indonesia;Sulawesi Selatan II
RAHAYU HAMZAH S.Pd;partai keadilan sejahtera;Nusa Tenggara Timur II
RAHAYU PUJI HASTUTI;partai amanat nasional;Jawa Tengah VII
RAHMA SARITA AL JUFRI S.H;partai nasdem;Jawa Timur II
RAHMAD;partai persatuan pembangunan;Jawa Timur XI
RAHMADIYAH HENDRY S.E;persatuan indonesia;Jawa Timur VIII
RAHMANIA ARIFIN;persatuan indonesia;Jawa Timur VIII
RAHMAT SH;partai berkarya;Sumatera Selatan II
RAHMAT SH.I;partai amanat nasional;Jawa Barat VII
RAHMAT HIDAYAT S.E.;partai demokrasi indonesia perjuangan;Sumatera Utara I
RAHMAT HIDAYAT;partai persatuan pembangunan;Jawa Barat VII
Dr RAHMAT NASUTION HAMKA S.H, M.Si;partai demokrasi indonesia perjuangan;Kalimantan Tengah
RAHMAT SAHID;partai demokrasi indonesia perjuangan;Jawa Tengah VII
Drs RAHMAT SULAEMAN. H;partai golongan karya;Jawa Barat I
RAHMAWATI;partai solidaritas indonesia;Jawa Barat II
RAHMAWATI SUPRAPTO SE;partai gerakan indonesia raya;Jawa Barat IX
RAHMI;partai amanat nasional;Maluku
RAHMI ABDI;partai kebangkitan bangsa;Aceh II
DRA. RAHMI YUSUF LUTAN M.S.;partai bulan bintang;Jawa Barat X
RAHMIATI SE.Ak;partai demokrat;Aceh I
RAIDONG HABIBI RAMBE S.Fil.I;partai kebangkitan bangsa;Sumatera Utara II
dr RAISSA ULFAH FADILLAH;partai gerakan indonesia raya;Lampung I
RAJA ASTAGENA;partai golongan karya;Kepulauan RIAU
RAJAMIN SIRAIT SE;partai berkarya;Sumatera Utara I
RAJI N. SITEPU S. Sos., M. Si.;partai amanat nasional;Sumatera Utara III
RAMA TRI PRAMUDIPTO SE;partai solidaritas indonesia;Jawa Tengah IX
RAMADLAN ST, MT;partai solidaritas indonesia;Aceh II
RAMAGUS KHALIS;partai solidaritas indonesia;Riau II
RAMAYANTI LUBIS;partai berkarya;Sumatera Utara II
RAMBE KAMARUL ZAMAN M.Sc.,M.M.;partai golongan karya;Sumatera Utara II
RAMLAN;partai berkarya;Sumatera Utara I
RAMLI ZR;partai gerakan indonesia raya;D. I. Yogyakarta
RAMOND DONY ADAM;partai demokrasi indonesia perjuangan;Aceh I
RAMOT SITUMEANG SH., MH;partai solidaritas indonesia;Banten II
RAMRAM MUKHLIS RAMDANI;partai kebangkitan bangsa;Jawa Barat XI
RAMZAH THABRAMAN S.T., S.H;partai kebangkitan bangsa;Sulawesi Selatan I
RANDY BAGUS YUDHA S.Psi.,M.I.P;partai bulan bintang;Jawa Barat VI
RANI KOMALASARI;partai solidaritas indonesia;Sumatera Barat I
RANI RISMAWATI SE;partai kebangkitan bangsa;Banten III
Ir RANOLDI MARDINSYAH;partai persatuan pembangunan;Lampung II
RANTO M.H. MANIK;partai berkarya;Dki Jakarta III
RASID S.Sos.I., M.Ud;persatuan indonesia;Jawa Tengah III
RASIDA SIREGAR;partai amanat nasional;Riau II
RASIMAH Z M.Pd;partai bulan bintang;Riau I
RASLINNA RASIDIN;partai berkarya;Dki Jakarta III
RASYEFKI;partai solidaritas indonesia;Lampung I
RATIH AYU SYAFRIZA S.Hut;partai golongan karya;Jawa Barat V
RATIH DEWANTI IRIANTINA;partai golongan karya;Jawa Tengah II
RATIH SUKMO ARIYANTI;partai golongan karya;Jawa Timur VIII
drg RATNA DHAMAYANTI;persatuan indonesia;Jawa Timur I
RATNA MULYA MADURANI S. H;partai keadilan sejahtera;Jawa Barat VII
RATNA NOVI HARTATI;partai berkarya;Sumatera Selatan I
RATNA PUSPONINGRUM S.Pd;partai keadilan sejahtera;Jawa Tengah VIII
RATNA WULANDARI S.E., M.E;partai kebangkitan bangsa;Kalimantan Barat I
RATRI HANDAYANI;partai keadilan sejahtera;Jawa Timur X
RATU AYU ISYANA BAGOES OKA;partai solidaritas indonesia;Banten III
RATU DIAN HATIFAH S.Ag., M.Pd;partai golongan karya;Banten III
RATU MINHERYATI SE;partai amanat nasional;Banten II
RATU RAJA ARIMBI NURTINA;partai berkarya;Jawa Barat VIII
RAUDATUL JANAH;partai persatuan pembangunan;Jawa Timur V
Ir RAUF PURNAMA;partai gerakan indonesia raya;Jawa Timur IX
RAVINDRA AIRLANGGA M.S.;partai golongan karya;Jawa Barat V
RAYINDA EVA RAHMAH S.Pd, M.Pd;partai kebangkitan bangsa;Jawa Tengah X
RAYMOND C. SYAUTA;partai golongan karya;Maluku
RAYNOLDY OKTORA SH;partai solidaritas indonesia;Nusa Tenggara Timur I
RAZALI ZAINUDDIN A.Md.;persatuan indonesia;Aceh II
RAZMAN ARIF;partai kebangkitan bangsa;Sumatera Utara III
RD. HERU RUSYAMSI ARIANATAREJA;partai bulan bintang;Banten III
Hj RD. RITA RITASARI ST.Par, MM;partai bulan bintang;Jawa Barat III
REBECCA SURYATI SIREGAR;partai nasdem;Dki Jakarta I
REDIANTO HERU NURCAHYO;partai solidaritas indonesia;D. I. Yogyakarta
REDUK NILAWARNI S.Pd;partai golongan karya;Aceh II
Ir REFRIMEN;partai keadilan sejahtera;Kalimantan Timur
REGINA M. MUABUAY S.Pd;partai demokrasi indonesia perjuangan;Papua
Dr.drg REGINA TETTY MARY M.Sc.;partai golongan karya;Sumatera Utara II
REGINA TIWI SITORUS S.P;partai solidaritas indonesia;Jawa Barat III
Ir REINALDY SYAHRUL;persatuan indonesia;Jawa Barat V
RENA WARTI;partai amanat nasional;Kalimantan Barat I
RENDI ERMANSYAH PUTRA S.T;partai keadilan sejahtera;Jawa Barat I
DRS RENDRA IRAWAN;partai amanat nasional;Jawa Tengah VII
Ir RENDY M AFFANDY LAMADJIDO;partai demokrasi indonesia perjuangan;Sulawesi Tengah
RENDY RONALDY BIMANTARA S.Adm;partai golongan karya;Jawa Barat XI
RENGGA KRISTIANTO;partai golongan karya;Jawa Tengah III
RENI LESTARI S.SI;partai keadilan sejahtera;Jambi
RENI ROSYIDA;partai amanat nasional;Maluku
RENI SUSANTI;persatuan indonesia;Sulawesi Selatan II
RENNY SARTIKA S,Kom;persatuan indonesia;Dki Jakarta III
RENNY YULIA ELSHA S.Si., M.Pd.;partai kebangkitan bangsa;Kepulauan RIAU
RENOLD DARMASYAH SSi, MSi.;partai keadilan sejahtera;Dki Jakarta III
RENY NOVIANA SARI;partai solidaritas indonesia;Lampung I
RESITA KANIYA BSBA,MBA;persatuan indonesia;Jawa Barat II
RESTU SISMAWANTO S.Sos.;persatuan indonesia;Papua
RESTUTY APRILLIA;partai demokrasi indonesia perjuangan;Bengkulu
RETNO BEKTI LESTARI SH;partai berkarya;Jawa Tengah I
RETNO INDRAWATI;partai keadilan sejahtera;Jawa Timur VIII
Dra RETNO SUSILOWATI AMIR S.H;partai golongan karya;Dki Jakarta II
RETNO WULANSARI;partai keadilan sejahtera;Jawa Tengah V
REVALIA;partai berkarya;Jawa Timur V
REVLI;partai keadilan sejahtera;Maluku Utara
REZA ARTAMEVIA;persatuan indonesia;Jawa Barat XI
RHAZES FAZA ASRINDRA;partai berkarya;Banten III
RIA DAHLIA S.Sos.;partai berkarya;Banten III
RIA DWI ASTUTI;partai solidaritas indonesia;Jawa Tengah II
RIA FITRIANA S.Fil;partai golongan karya;Jawa Tengah VII
RIA RESTI S.E.;partai golongan karya;Kalimantan Barat I
RIA SRI WOELANDARI;partai golongan karya;Sumatera Selatan II
Dra RIALI PANGAMIANI;persatuan indonesia;Kalimantan Tengah
RIAN ERNEST TANUDJAJA SH;partai solidaritas indonesia;Dki Jakarta I
RIANA DEWI KURNIAWATI;partai gerakan indonesia raya;Kalimantan Barat II
RIANA MELADEWI SH.,MKn;partai bulan bintang;Jawa Barat VII
RIANG KULUP PRAYUDA;partai berkarya;Jawa Timur II
RICADONA THEODORA TENDEAN;partai gerakan indonesia raya;Jawa Timur IV
RICHARDIUS HARYO KUNCORO;partai solidaritas indonesia;Jawa Barat I
RICKIE FERDINANSYAH;partai nasdem;Jawa Barat VIII
RICKY HARISMA HASANUDDIN;persatuan indonesia;Jawa Tengah II
RICKY KURNIA MARGONO S.H., M.H.;persatuan indonesia;Jawa Barat VIII
RICKY MAHENDRI;partai demokrasi indonesia perjuangan;Sumatera Barat I
Ir RICKY SITORUS M.Si;partai demokrasi indonesia perjuangan;Sumatera Selatan II
RIDA KEMALA B.A (HONS),M.A;persatuan indonesia;Dki Jakarta II
Ir RIDHO BUDIMAN UTAMA;partai keadilan sejahtera;Jawa Barat IX
RIDHWAN EFFENDI, SIP. M.Kesos;partai amanat nasional;Jawa Tengah VI
Drs RIDUAN NOOR;partai bulan bintang;Kalimantan Timur
H. A RIDWAN M DALLAH SE;partai bulan bintang;Aceh II
RIEFIAN FAJARSYAH S.M;partai kebangkitan bangsa;Kalimantan Barat I
RIESKA MELIA SURYADI;persatuan indonesia;Sumatera Utara II
RIETA FADMI ACHMAD;partai bulan bintang;Kalimantan Tengah
RIFANI WAHYU UTAMI;partai persatuan pembangunan;Jawa Timur VII
RIFKI S. Kom;partai bulan bintang;Sumatera Barat II
RIKA ARYASARI SUHARDI;partai persatuan pembangunan;Jawa Tengah I
RIKA MUSTIKA S S.E., M.M;partai golongan karya;Jawa Barat XI
RIKA NURLELA S. Ag.;partai kebangkitan bangsa;Jawa Timur XI
RIKA OKTARIANI S.IKOM;partai kebangkitan bangsa;Jawa Barat VII
RIKA RAHMAWATI ST,. MT;partai amanat nasional;Banten I
RIKARDO SIMBOLON S.Pd;partai solidaritas indonesia;Jawa Barat II
RIKI NURAKHMAD SH;partai solidaritas indonesia;Jawa Barat VIII
RIKI SEPTIADI SE., MBA., MH., AWM;persatuan indonesia;Dki Jakarta II
RIKKY PRIHATNO;partai solidaritas indonesia;Jawa Timur IV
RIMA MELATI;partai nasdem;Aceh II
RIMA YULIA MA'LIAH;partai kebangkitan bangsa;Jawa Barat III
RIMSO MARULI SINAGA SH, MH;partai berkarya;Sumatera Utara II
RINA DWI ANDINI S.H., M.H.;partai golongan karya;Jawa Barat VII
RINA FADLIAH S.Pd.,M.Pd;persatuan indonesia;Kalimantan Selatan I
RINA FITRI;partai golongan karya;Jawa Tengah VI
RINA HARTATI HASIBUAN;partai persatuan pembangunan;Sumatera Utara II
RINA HASTUTI;persatuan indonesia;Kalimantan Selatan I
Dra RINA LADEN M.M;partai golongan karya;Kalimantan Timur
RINA RESTIANI SUPRIAWAN ÃƒÆ’Ã¢â€šÂ¬.Md.Keb;partai amanat nasional;Jawa Barat XI
Ir. Hj RINA RUSLI;partai amanat nasional;Jambi
RINA SEPTIANA;partai amanat nasional;Jawa Barat VII
RINA SETIYASTUTI SH.;partai amanat nasional;Jawa Tengah VII
RINA YUGO KASNI S,Pd, S.E, M.M;partai kebangkitan bangsa;Sumatera Utara I
RINA YUNARTI S.H., M.Kn.;partai demokrasi indonesia perjuangan;Jawa Timur II
RINALDI S.H, M.Kn;partai gerakan indonesia raya;Jawa Tengah VIII
RINALDI;partai solidaritas indonesia;Riau I
RINAWATI LIMONU S.HUT;partai demokrasi indonesia perjuangan;Kalimantan Tengah
RINDRA PANGGAR BESI S.Pt;partai bulan bintang;Bengkulu
RINI RAHAYU S.PD.I;partai kebangkitan bangsa;Jawa Barat XI
RINTIS MULYANING ATI;partai solidaritas indonesia;Jawa Timur III
RIO MENDUNG THALIEB M.Sc., Ph.D.;persatuan indonesia;Lampung II
RIO SAHALA SIAGIAN;partai demokrasi indonesia perjuangan;Sumatera Utara I
RIO SIBY S.Th;persatuan indonesia;Jawa Tengah V
RISA MARISKA SH;partai demokrasi indonesia perjuangan;Jawa Barat VI
RISA NURSA'ADAH;partai kebangkitan bangsa;Jawa Barat IX
RISA PERMATASARI;partai bulan bintang;Jawa Timur III
RISHARYUDI TRIWIBOWO M.M.;partai kebangkitan bangsa;Sulawesi Tengah
RISKA KHAIRUNNISA;partai gerakan indonesia raya;Jawa Timur XI
DR RISMAN PASARIBU M.M;partai persatuan pembangunan;Sumatera Utara II
RISMAN SIRANGGI;partai demokrasi indonesia perjuangan;Sumatera Barat I
RISNAULI SIAHAAN S.Si;partai gerakan indonesia raya;Banten III
RISSA RESTININGRUM;partai gerakan perubahan indonesia;Jawa Tengah VII
RISTI AYU GRIYA SUCI S.HI;persatuan indonesia;Lampung I
RISWANDI;partai bulan bintang;Sumatera Barat II
RISYA AZZAHRA RAHIMAH NATAKUSUMAH;partai nasdem;Banten II
RISZA NOVIANTY SYAMSUL S.MB;persatuan indonesia;Sulawesi Tenggara
RITA ARIYANTI;partai bulan bintang;Kalimantan Timur
RITA DAMAYANTI KAPLALE SE., MSi;partai kebangkitan bangsa;Maluku
RITA FAJRIAH;partai keadilan sejahtera;Kepulauan RIAU
RITA IRAWATI PRIATNA;partai berkarya;Jawa Barat IV
DR RITA KUSRIASTUTI MSc;partai solidaritas indonesia;Jawa Tengah V
RITA LUCIANA SH., M.Kn.;partai nasdem;Jawa Tengah VIII
Ir RITA MURNI;partai kebangkitan bangsa;Sumatera Barat II
RITA SAHAGIA SE;partai bulan bintang;Riau I
RITA SUSANTI S.Ag;partai keadilan sejahtera;Sumatera Barat I
RITA SYARIFAH;partai keadilan sejahtera;Jawa Timur VII
RITA TRIANA;partai demokrasi indonesia perjuangan;Riau I
RITA YUSEFA;partai keadilan sejahtera;Bengkulu
RITA ZAENAF SH, S.PD, M.PD;persatuan indonesia;Jawa Tengah II
RIVER CHANDRA KUSUMA WINTIO S.T;partai berkarya;Jawa Tengah I
RIYONO ASNAN S.E., M.Si;partai golongan karya;Jawa Timur XI
RIZA FIRDAUSI;partai gerakan indonesia raya;Jawa Timur II
RIZA VILLANO SATRIA PUTRA;partai solidaritas indonesia;Papua Barat
RIZAL CALVARY MARIMBO;partai solidaritas indonesia;Sulawesi Selatan III
RIZAL RINALDI;partai golongan karya;D. I. Yogyakarta
RIZKA AMALIA R NATAKUSUMAH BA.Sociology;partai nasdem;Banten I
RIZKA PUTRI ABNER S.E.;partai solidaritas indonesia;Riau II
RIZKA PUTRI RAMADHANI;partai gerakan perubahan indonesia;Jawa Tengah VI
RIZKI NURDIA ASTUTI;partai kebangkitan bangsa;Kalimantan Timur
RIZKI UTAMI;partai solidaritas indonesia;Jawa Timur VIII
RIZKY PUTRA YUDHAPRADANA S.H;partai berkarya;Jawa Timur IV
RIZKY PUTRI AMALIA B.A M.Sc;partai kebangkitan bangsa;Dki Jakarta II
RM HENING HUTOMO PUTRO;partai gerakan indonesia raya;D. I. Yogyakarta
RM. SATYA BRAHMANTYA;partai solidaritas indonesia;D. I. Yogyakarta
ROBANI HENDRA PERMANA ST;partai keadilan sejahtera;Jawa Barat VIII
ROBBIANA DANI AWALLUDIN SE;partai kebangkitan bangsa;Jawa Barat I
ROBERT SOTER MARUT;partai solidaritas indonesia;Nusa Tenggara Timur I
ROBERTHUS BAIT KEYTIMU S.H;partai solidaritas indonesia;Nusa Tenggara Timur I
ROBERTUS ARYO MAHESA SE;partai bulan bintang;Kalimantan Timur
ROBI ANUGRAH MARPAUNG S.H., M.H.;partai golongan karya;Sumatera Utara I
ROBIATUL ADAWIYAH S.PDI;partai kebangkitan bangsa;Jawa Barat IX
ROBIN MARTINUS ST;partai solidaritas indonesia;Sumatera Selatan I
ROBINSAR SINAGA S.E.;partai golongan karya;Sumatera Utara I
ROBY KURNIAWAN S.P.W.K;partai golongan karya;Dki Jakarta II
ROCKY FRANS SUBUN SH. MH;partai berkarya;Jawa Barat III
DRA RODIYAH;partai amanat nasional;Nusa Tenggara Barat I
Drs ROEM KONO;partai golongan karya;Gorontalo
ROHIM RITONGA;partai keadilan sejahtera;Sumatera Utara II
ROHMAD;partai gerakan indonesia raya;Jawa Tengah IV
ROHMAT SH.,MH;persatuan indonesia;Jawa Barat VII
ROLEL HARAHAP;partai golongan karya;Sumatera Utara I
ROMY BARENO BA., M,A;partai amanat nasional;Jawa Barat VI
RONA FIRMANSYAH;partai amanat nasional;Jawa Barat IX
RONALD GANDHA PARLINDUNGAN HUTABARAT ST;partai solidaritas indonesia;Jawa Barat III
RONNI ABDI ST., MM;partai bulan bintang;Banten II
RONSIANUS B. DAUR SE.,BKP;partai amanat nasional;Nusa Tenggara Timur I
ROOS FELISTAS FAR-FAR S.H,. M.H;partai nasdem;Maluku
ROSANIETA VIENNIE S.H;persatuan indonesia;Sulawesi Selatan I
ROSITA USMAN SH, MH;partai nasdem;Maluku
ROSMAYANTI NAIM S.Pd;partai demokrasi indonesia perjuangan;Sulawesi Selatan II
ROSMIATI;partai persatuan pembangunan;Riau II
ROSMIN;partai kebangkitan bangsa;Sulawesi Tenggara
ROSNAWATI S.Pd.I;partai amanat nasional;Aceh II
ROSNI IDHAM,SE;partai persatuan pembangunan;Aceh I
ROSRIANA;partai kebangkitan bangsa;Kalimantan Barat II
ROSTAN SH, M.H;partai berkarya;Kalimantan Timur
ROSY CHADWI PUTRI S.KM;persatuan indonesia;Jawa Barat VII
ROSYAD KAMIL;partai keadilan sejahtera;Lampung I
ROUDOTUL JANNAH S.TP;partai persatuan pembangunan;Jawa Timur III
dr ROYS;partai amanat nasional;Sumatera Selatan I
Hj RR ENDAH OCTAVIA HARTANTI SE;partai amanat nasional;Jawa Barat V
RR SK DHARMAWANTY;partai kebangkitan bangsa;Dki Jakarta I
RR. DEWI NILAM PUTRI LARASATY;persatuan indonesia;Jawa Timur IV
RR. LAYLA NOOR AZIZA S.Pd.,S.Si;partai kebangkitan bangsa;D. I. Yogyakarta
RR. SRI SOERYA IBNOEMOERTINI J.A;partai bulan bintang;Jawa Timur XI
RR.PUNGKY PUSPITASARI;partai bulan bintang;Jawa Timur I
RR.Y. TUTIEK SETIA MURNI SH.MH;partai nasdem;Jawa Tengah VI
RUBIANI NAZIAH;partai gerakan indonesia raya;Jawa Timur II
RUDDIN AKBAR LUBIS S.H., M.H.;partai golongan karya;Sumatera Utara I
RUDI ENDANG KURNIAWAN;partai berkarya;Jawa Barat XI
Ir RUDI NUR RAHMAT MT;partai kebangkitan bangsa;Jawa Tengah I
Ir RUDI ZULHAM HASIBUAN;persatuan indonesia;Sumatera Utara I
RUDISIA USMAN, SH;partai persatuan pembangunan;Kep. Bangka Belitung
RUDY GUNAWAN S.E;partai solidaritas indonesia;Jawa Barat III
RUDY HARYANTO;partai solidaritas indonesia;Jawa Tengah V
RUDY WIBOWO;persatuan indonesia;Jawa Timur I
DR. RUFINUS H. HUTAURUK S.H., M.M., M.H.;partai nasdem;BALI
RUKKAYAH MALIK;partai demokrasi indonesia perjuangan;Sulawesi Selatan II
Drs RUKMA SETYABUDI M.M.;partai demokrasi indonesia perjuangan;Jawa Tengah VI
RUKMINI S.Pd;persatuan indonesia;Jawa Timur VI
RUKMINI PAATA TOHEKE;partai kebangkitan bangsa;Sulawesi Tengah
RUMBUNG PASARIBU SH, MH;partai golongan karya;Sumatera Utara II
RUMIYATI;partai nasdem;Jawa Tengah VIII
RUNGGU SIHOMBING S.Si M.M;persatuan indonesia;Banten III
RURI PRIMASARI S.Pd.i;persatuan indonesia;Jawa Barat XI
RURI PUDJI NINGRUM;partai solidaritas indonesia;Jawa Timur I
RUSBANDI;partai persatuan pembangunan;Jawa Tengah IX
RUSDA WILDANI AFKAR;partai solidaritas indonesia;Riau I
RUSDI HIDAYAT S.E.;partai persatuan pembangunan;Jawa Barat V
RUSDI MINANGKABAU S.T.;partai demokrasi indonesia perjuangan;Maluku Utara
Dra RUSDIANA BARDIAN MM;partai berkarya;Banten I
RUSDY MASTURA;partai nasdem;Sulawesi Tengah
Dr Ir RUSLAN WIJAYA SE. M.AP;persatuan indonesia;Bengkulu
H RUSLI EFFENDI S.Pd.I, SE., M.Si;partai persatuan pembangunan;Riau I
RUSLIM ROHIMUN SE;partai gerakan indonesia raya;Sumatera Utara I
RUSMIN EFFENDY SH, MH;partai gerakan indonesia raya;Jawa Barat X
Ir RUSNILAWATI M.M;partai golongan karya;Jawa Timur IX
Ir (Insinyur) RUSNO OMBAK RAHARDJO;partai keadilan sejahtera;Jawa Barat VIII
S AMINUDIN;partai bulan bintang;Jawa Tengah V
S. ADOLF. T. P. SIBURIAN;partai golongan karya;Papua
KOL. INF. (PURN) S. MARZUKI S.Sos.,M.Si;partai demokrasi indonesia perjuangan;Lampung I
S.I. ANNY TRI MARYANNY;partai persatuan pembangunan;Dki Jakarta III
SA'ADAH DAROINI S.Si;partai keadilan sejahtera;Kalimantan Selatan II
SA'DIAH S.IP, M.Pd;partai bulan bintang;Sumatera Utara I
Drs SABAM SINAGA M.M;persatuan indonesia;Sumatera Utara II
SABANUDIN HULU S.E;partai solidaritas indonesia;Sumatera Utara II
SABAR SITANGGANG M.Si;partai bulan bintang;Sumatera Utara II
SABARIAH H.D.T;partai gerakan indonesia raya;BALI
SABARUDDIN YASIN SH.,S.A.g.,MT;partai bulan bintang;Kalimantan Timur
SABELLA LIBERTY S.H.;persatuan indonesia;Sumatera Selatan I
SABIRIN SANYONG;persatuan indonesia;Kalimantan Utara
SABRISAL;partai berkarya;Jambi
SAEFUL BAHRI S.T.;partai demokrasi indonesia perjuangan;Riau II
SAEROZI S.Sos;partai bulan bintang;Nusa Tenggara Barat II
SAFRAN;partai solidaritas indonesia;Aceh I
SAFRI SE., Msi.;partai gerakan indonesia raya;Sumatera Selatan II
SAFRIZAL ARIFIN SH., M.H;partai persatuan pembangunan;Banten III
SAGITA KOERNAENI;persatuan indonesia;Jawa Timur III
Drs SAHAR L HASSAN;partai bulan bintang;Jawa Barat IV
SAHARA M.Si.;partai solidaritas indonesia;Jawa Barat VIII
SAHAT TUMANGGOR SE., MM.;persatuan indonesia;Jawa Barat III
SAHRIL TUMANGGOR S.E., S.H., M.H.;partai kebangkitan bangsa;Sumatera Utara I
SAHRONI SURYANA SH;persatuan indonesia;Jawa Barat VII
SAID BIN DJINDAN;persatuan indonesia;Jawa Barat XI
SAID FAISAL ASSAGAFF S.Sos;partai keadilan sejahtera;Maluku
SAIDAH SAKWAN M.A;partai golongan karya;Jawa Tengah VI
SAIDAL MASFIYUDDIN S.H;partai golongan karya;Sumatera Barat I
SAIDULKARNAIN ISHAK;partai solidaritas indonesia;Kalimantan Tengah
Dr SAIFUL BAHRI RURAY S.H., M.Si.;partai golongan karya;Maluku Utara
SAIFUL ULUM SAP;partai persatuan pembangunan;Nusa Tenggara Timur II
SAKINAH S.H;partai golongan karya;Jawa Tengah IV
SALAWATI DAHLAN MS SE;partai bulan bintang;Aceh I
SALEHUDDIN;partai berkarya;Sulawesi Tenggara
SALIM AZHAR;partai kebangkitan bangsa;Jawa Timur X
SALIM S. MENGGA;partai nasdem;Sulawesi Barat
SALMA DJ;partai persatuan pembangunan;Sulawesi Tengah
SALMA RUFAIDA;partai keadilan sejahtera;Jawa Tengah VIII
SALMAN ASSAGAF S.SOS;partai kebangkitan bangsa;Jawa Barat VII
SALOMO LUMBAN TOBING;partai solidaritas indonesia;Sumatera Utara III
Ir SALOMO PARLINDUNGAN HUTABARAT;partai gerakan indonesia raya;Sumatera Utara II
SAMIUN DAMURA;partai bulan bintang;Papua
SAMMIRA M. M.Si;persatuan indonesia;Kalimantan Barat I
SAMSIR ALI;persatuan indonesia;Aceh I
SAMSUDIN BOLENG SH;partai bulan bintang;Papua
Ir SAMSUDIN RENTUA;partai kebangkitan bangsa;Maluku
DRS SAMSUL DAULAH;partai bulan bintang;Kalimantan Selatan II
SAMSUL HAIR;partai gerakan indonesia raya;Jawa Timur VI
CAPT SAMUEL BONAPARTE HUTAPEA A.Md., S.E., S.H., M.H., M.Mar;partai kebangkitan bangsa;Kepulauan RIAU
Dr SAMUEL M.P. HUTABARAT S.H., M.Hum.;persatuan indonesia;Sumatera Selatan I
SAMUEL TABUNI SE;partai nasdem;Papua
SANDRA INDRIATI NOHOLO;partai golongan karya;Jawa Barat II
SANDRA SORAYA SH;partai gerakan indonesia raya;Sumatera Selatan II
SANDY CHUSAN JACINTA MANUHUTU M.P.;partai demokrasi indonesia perjuangan;Banten I
SANDY PATRIANA MAHURA SH;partai nasdem;Maluku Utara
SANIATI POKA;partai solidaritas indonesia;Sulawesi Tenggara
Dr SANIDJAR PEBRIHARIATI;persatuan indonesia;Sumatera Barat II
SANTI PARAMITA SH;persatuan indonesia;Jawa Timur XI
SANTI SUPRIYANTI S.Si;partai golongan karya;Riau I
SANTIKA SORAYA;partai amanat nasional;Sulawesi Selatan III
Prof. DR SANUSI UWES;partai bulan bintang;Jawa Barat VII
SAPARUDDIN HAJI LUBIS;partai keadilan sejahtera;Sumatera Utara II
SAPTO WALUYO S.Sos, M. Sc.;partai keadilan sejahtera;Jawa Barat VI
SARAH FATIMAH;partai persatuan pembangunan;Jawa Barat III
SARAH HAJAR MAHMUDAH S.Sos;partai kebangkitan bangsa;Jawa Timur II
SARAH NATHAN;partai solidaritas indonesia;Jawa Tengah IX
SARAH SYAFITRI S.Ikom;partai golongan karya;Jawa Tengah X
SARASJATIE ANINGKUSUMA PARMONO S.H.;partai demokrasi indonesia perjuangan;D. I. Yogyakarta
SARI DEWI SE.Ak;partai keadilan sejahtera;Aceh II
SARI MARLIA SH;partai amanat nasional;Jawa Barat III
SARI RIFYANJANI S. KOM.I;partai gerakan indonesia raya;Jawa Tengah II
Hj SARIMAYA SE;partai berkarya;Jawa Barat XI
SARJONO;partai persatuan pembangunan;Jawa Barat XI
SARPUDDIN LITILOLY S.AP;partai persatuan pembangunan;Maluku
SARWANDI EKA SARBINI;partai keadilan sejahtera;Sulawesi Selatan I
Drs SARYONO JAHIDI;partai persatuan pembangunan;Dki Jakarta I
SATA UMANI;partai amanat nasional;Kalimantan Tengah
SATIA CHANDRA WIGUNA S.Kom.I;partai solidaritas indonesia;Jawa Barat XI
Drs SATUHANG DG. SE'RE;partai amanat nasional;Sulawesi Selatan I
Drs SATYA NUGRAHA LAKSANA;partai persatuan pembangunan;Jawa Barat I
SAUR BUNGARAN SINAGA;partai gerakan indonesia raya;Jawa Timur V
Dr SAUR HASUGIAN M.TH;persatuan indonesia;Dki Jakarta I
SAYED MUSTAFA USAB AL IDROES;partai kebangkitan bangsa;Aceh I
SAYID FADHAL ALHAMID;partai solidaritas indonesia;Papua
SAYUTI SH.MH;partai kebangkitan bangsa;Aceh II
Ir SAYUTI ASYATHRI;partai amanat nasional;Banten III
SEBASTIANUS KM SALANG S.H., M.M;partai golongan karya;Nusa Tenggara Timur I
SEKARWATI S.Sos., M.Si;partai golongan karya;Jawa Tengah VII
SEKLIANI S.E;persatuan indonesia;Jawa Timur V
SELAMET SE, M.Si;partai solidaritas indonesia;Jawa Tengah X
SELESTINA IMACULATA F. SANBEIN S.Pd;partai kebangkitan bangsa;Nusa Tenggara Timur II
SELESTINUS A. OLA SH;persatuan indonesia;Nusa Tenggara Timur I
