nama;partai;dapil
ALBERTUS SOEGENG SH;partai kebangkitan bangsa;Kep. Bangka Belitung
ALDANALIA DELVI;partai berkarya;Sumatera Utara I
ALDRIN INIGO WIJANA ST;partai solidaritas indonesia;Banten II
ALETA KORNELIA BAUN SH;partai kebangkitan bangsa;Nusa Tenggara Timur II
Dr ALEXIUS AKIM M.M.;partai demokrasi indonesia perjuangan;Kalimantan Barat I
ALFATI NOVA;persatuan indonesia;Sumatera Utara III
ALFIA REZIANI;partai demokrasi indonesia perjuangan;Jawa Tengah V
ALFIAN ZULHAM SIREGAR S.T.;partai bulan bintang;Kalimantan Tengah
ALFRED BAUN SH;partai amanat nasional;Nusa Tenggara Timur II
ALFRIDUS BRIA SERAN ST;partai nasdem;Nusa Tenggara Timur II
Drs ALI AMRAN TANJUNG SH, M.Hum;partai bulan bintang;Sumatera Utara I
ALI ANSHORI S. Ag., M.Si;partai kebangkitan bangsa;Kalimantan Tengah
ALI ANTONIUS SH.,MH;partai kebangkitan bangsa;Nusa Tenggara Timur I
ALI CESTAR SS;partai solidaritas indonesia;Sumatera Barat I
Ir ALI HERMAN IBRAHIM MM;partai amanat nasional;Jawa Tengah III
ALI IMRON BAFADAL;partai gerakan indonesia raya;Nusa Tenggara Barat II
ALI IRFANI S.Ag, M.HI;partai golongan karya;Jawa Tengah IX
Ir ALI MAHIR MM;partai nasdem;Jawa Tengah II
Dr ALI MUFTHI S.Ag., M.Si.;partai golongan karya;Jawa Timur VII
ALI NURHAKIM;partai bulan bintang;Jawa Barat X
ALI RIDHA SE, MM;partai persatuan pembangunan;Jawa Barat VIII
ALI RIZAL HANAFI;partai persatuan pembangunan;Maluku Utara
ALI SA'RONI S.IP;partai persatuan pembangunan;Jawa Barat X
Drs ALI SYAHBANA RITONGA S.H.,M.H;persatuan indonesia;Riau I
DR ALI YUSRAN GEA SH., MKn., MH;partai gerakan indonesia raya;Sumatera Utara II
ALIA SUGIANTI SE;partai amanat nasional;Jawa Timur II
ALIAH LESTARI SAYUTI S.Hum;partai amanat nasional;Dki Jakarta I
Dra ALIDA HANDAU LAMPE G. M.Si.;partai berkarya;Jawa Barat II
ALISYA FIANNE JANNE;partai golongan karya;Bengkulu
Ir ALIWONGSO HALOMOAN SINAGA;partai golongan karya;Sumatera Utara III
ALLAN ZEFO UMBOH SS, S.Pd;partai solidaritas indonesia;Sulawesi Utara
ALLEN YULIANA ELIA SE;partai solidaritas indonesia;Jawa Barat IV
ALMIRA ADELLIA DAMAYANTI S.T;partai golongan karya;Jawa Timur VII
ALMIZAN ULFA SE, MSc;persatuan indonesia;Jawa Barat V
ALOYSIUS ABI;partai amanat nasional;Nusa Tenggara Timur II
ALPIAN, SH;partai nasdem;Riau I
ALVIN RIZKA PUTRI STr. Keb;persatuan indonesia;Jawa Timur III
AMALIA LARASATI S.Pd. MM;partai amanat nasional;Jawa Timur VIII
AMALIA SUDEWI SH;partai persatuan pembangunan;Jawa Barat VIII
AMANATUL HUSNA S. Pi;partai keadilan sejahtera;Jawa Tengah II
AMANDA SEPTIANY CALISTA S.H;partai golongan karya;Jawa Timur IV
AMANTA DINANJAYA;partai persatuan pembangunan;Jawa Timur VIII
Drs AMARULLAH NASUTION;partai bulan bintang;Sumatera Utara II
AMAT ANTONO;partai nasdem;Jawa Tengah X
AMBO INTANG AZIKIN;partai persatuan pembangunan;Kalimantan Utara
